ensembl_gene_id,gene_biotype,gene
ENSG00000042286,protein_coding,AIFM2
ENSG00000042317,protein_coding,SPATA7
ENSG00000042429,protein_coding,MED17
ENSG00000042445,protein_coding,RETSAT
ENSG00000042493,protein_coding,CAPG
ENSG00000042753,protein_coding,AP2S1
ENSG00000042781,protein_coding,USH2A
ENSG00000042813,protein_coding,ZPBP
ENSG00000042832,protein_coding,TG
ENSG00000042980,protein_coding,ADAM28
ENSG00000043039,protein_coding,BARX2
ENSG00000043093,protein_coding,DCUN1D1
ENSG00000043143,protein_coding,JADE2
ENSG00000043355,protein_coding,ZIC2
ENSG00000043462,protein_coding,LCP2
ENSG00000043514,protein_coding,TRIT1
ENSG00000043591,protein_coding,ADRB1
ENSG00000044090,protein_coding,CUL7
ENSG00000044115,protein_coding,CTNNA1
ENSG00000044446,protein_coding,PHKA2
ENSG00000044459,protein_coding,CNTLN
ENSG00000044524,protein_coding,EPHA3
ENSG00000044574,protein_coding,HSPA5
ENSG00000046647,protein_coding,GEMIN8
ENSG00000046651,protein_coding,OFD1
ENSG00000046653,protein_coding,GPM6B
ENSG00000046889,protein_coding,PREX2
ENSG00000047056,protein_coding,WDR37
ENSG00000047188,protein_coding,YTHDC2
ENSG00000047230,protein_coding,CTPS2
ENSG00000047249,protein_coding,ATP6V1H
ENSG00000047315,protein_coding,POLR2B
ENSG00000047346,protein_coding,FAM214A
ENSG00000047365,protein_coding,ARAP2
ENSG00000047410,protein_coding,TPR
ENSG00000047457,protein_coding,CP
ENSG00000047578,protein_coding,KIAA0556
ENSG00000047579,protein_coding,DTNBP1
ENSG00000047617,protein_coding,ANO2
ENSG00000047621,protein_coding,C12orf4
ENSG00000047634,protein_coding,SCML1
ENSG00000047644,protein_coding,WWC3
ENSG00000047648,protein_coding,ARHGAP6
ENSG00000047662,protein_coding,FAM184B
ENSG00000047849,protein_coding,MAP4
ENSG00000047932,protein_coding,GOPC
ENSG00000047936,protein_coding,ROS1
ENSG00000048028,protein_coding,USP28
ENSG00000048052,protein_coding,HDAC9
ENSG00000048140,protein_coding,TSPAN17
ENSG00000048162,protein_coding,NOP16
ENSG00000048342,protein_coding,CC2D2A
ENSG00000048392,protein_coding,RRM2B
ENSG00000048405,protein_coding,ZNF800
ENSG00000048471,protein_coding,SNX29
ENSG00000048540,protein_coding,LMO3
ENSG00000048544,protein_coding,MRPS10
ENSG00000048545,protein_coding,GUCA1A
ENSG00000048649,protein_coding,RSF1
ENSG00000048707,protein_coding,VPS13D
ENSG00000048740,protein_coding,CELF2
ENSG00000048828,protein_coding,FAM120A
ENSG00000048991,protein_coding,R3HDM1
ENSG00000049089,protein_coding,COL9A2
ENSG00000049130,protein_coding,KITLG
ENSG00000049167,protein_coding,ERCC8
ENSG00000049192,protein_coding,ADAMTS6
ENSG00000049239,protein_coding,H6PD
ENSG00000049245,protein_coding,VAMP3
ENSG00000049246,protein_coding,PER3
ENSG00000049283,protein_coding,EPN3
ENSG00000049323,protein_coding,LTBP1
ENSG00000049449,protein_coding,RCN1
ENSG00000049540,protein_coding,ELN
ENSG00000049541,protein_coding,RFC2
ENSG00000049618,protein_coding,ARID1B
ENSG00000049656,protein_coding,CLPTM1L
ENSG00000049759,protein_coding,NEDD4L
ENSG00000049769,protein_coding,PPP1R3F
ENSG00000049860,protein_coding,HEXB
ENSG00000049883,protein_coding,PTCD2
ENSG00000050030,protein_coding,NEXMIF
ENSG00000050130,protein_coding,JKAMP
ENSG00000050165,protein_coding,DKK3
ENSG00000050344,protein_coding,NFE2L3
ENSG00000050393,protein_coding,MCUR1
ENSG00000050405,protein_coding,LIMA1
ENSG00000050426,protein_coding,LETMD1
ENSG00000050438,protein_coding,SLC4A8
ENSG00000050555,protein_coding,LAMC3
ENSG00000050628,protein_coding,PTGER3
ENSG00000050730,protein_coding,TNIP3
ENSG00000050748,protein_coding,MAPK9
ENSG00000050767,protein_coding,COL23A1
ENSG00000050820,protein_coding,BCAR1
ENSG00000051009,protein_coding,FAM160A2
ENSG00000051108,protein_coding,HERPUD1
ENSG00000051180,protein_coding,RAD51
ENSG00000051341,protein_coding,POLQ
ENSG00000051382,protein_coding,PIK3CB
ENSG00000051523,protein_coding,CYBA
ENSG00000051596,protein_coding,THOC3
ENSG00000051620,protein_coding,HEBP2
ENSG00000051825,protein_coding,MPHOSPH9
ENSG00000052126,protein_coding,PLEKHA5
ENSG00000052723,protein_coding,SIKE1
ENSG00000052749,protein_coding,RRP12
ENSG00000052795,protein_coding,FNIP2
ENSG00000052802,protein_coding,MSMO1
ENSG00000052841,protein_coding,TTC17
ENSG00000053108,protein_coding,FSTL4
ENSG00000053254,protein_coding,FOXN3
ENSG00000053328,protein_coding,METTL24
ENSG00000053371,protein_coding,AKR7A2
ENSG00000053372,protein_coding,MRTO4
ENSG00000053438,protein_coding,NNAT
ENSG00000053501,protein_coding,USE1
ENSG00000053524,protein_coding,MCF2L2
ENSG00000053702,protein_coding,NRIP2
ENSG00000053747,protein_coding,LAMA3
ENSG00000053770,protein_coding,AP5M1
ENSG00000053900,protein_coding,ANAPC4
ENSG00000053918,protein_coding,KCNQ1
ENSG00000054116,protein_coding,TRAPPC3
ENSG00000054118,protein_coding,THRAP3
ENSG00000054148,protein_coding,PHPT1
ENSG00000054179,protein_coding,ENTPD2
ENSG00000054267,protein_coding,ARID4B
ENSG00000054277,protein_coding,OPN3
ENSG00000054282,protein_coding,SDCCAG8
ENSG00000054356,protein_coding,PTPRN
ENSG00000054392,protein_coding,HHAT
ENSG00000054523,protein_coding,KIF1B
ENSG00000054598,protein_coding,FOXC1
ENSG00000054611,protein_coding,TBC1D22A
ENSG00000054654,protein_coding,SYNE2
ENSG00000054690,protein_coding,PLEKHH1
ENSG00000054793,protein_coding,ATP9A
ENSG00000054803,protein_coding,CBLN4
ENSG00000054965,protein_coding,FAM168A
ENSG00000054967,protein_coding,RELT
ENSG00000054983,protein_coding,GALC
ENSG00000055044,protein_coding,NOP58
ENSG00000055070,protein_coding,SZRD1
ENSG00000055118,protein_coding,KCNH2
ENSG00000055130,protein_coding,CUL1
ENSG00000055147,protein_coding,FAM114A2
ENSG00000055163,protein_coding,CYFIP2
ENSG00000055208,protein_coding,TAB2
ENSG00000055211,protein_coding,GINM1
ENSG00000055332,protein_coding,EIF2AK2
ENSG00000055483,protein_coding,USP36
ENSG00000055609,protein_coding,KMT2C
ENSG00000055732,protein_coding,MCOLN3
ENSG00000055813,protein_coding,CCDC85A
ENSG00000055917,protein_coding,PUM2
ENSG00000055950,protein_coding,MRPL43
ENSG00000055955,protein_coding,ITIH4
ENSG00000056050,protein_coding,HPF1
ENSG00000056097,protein_coding,ZFR
ENSG00000056277,protein_coding,ZNF280C
ENSG00000056291,protein_coding,NPFFR2
ENSG00000056487,protein_coding,PHF21B
ENSG00000056558,protein_coding,TRAF1
